lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.528801
# Diagonal elements of inverse mass matrix:
# 3.04423e-05, 2.37887e-05, 0.000136695, 0.000166389, 0.000221866, 0.000181363, 0.000377016, 0.000318203, 0.000213011, 0.000185326, 0.000259672, 0.000150168, 0.00020542, 0.000227116, 0.00052643, 0.000230026, 0.000276288, 0.000343751, 0.000352262, 0.000219373, 0.00202359, 0.000801455, 0.0765079, 0.0816748
-18877.1,0.762087,0.528801,3,7,0,18891,-0.0120188,0.977139,0.131233,-0.02582,0.243785,0.0937804,0.326764,0.122778,0.0404171,0.0532376,0.254076,0.155722,-0.0570326,0.121274,0.0690183,-0.00254731,0.147615,0.127392,0.119771,0.1456,0.103013,0.149699,0.109127,0.135017,-19378
-18884.8,0.778188,0.528801,3,7,0,18891.5,-0.00967652,0.968342,0.112919,-0.0389613,0.281669,0.0846959,0.302995,0.144193,0.0427094,0.057744,0.255915,0.15378,-0.0456165,0.125741,0.0696552,-0.0258894,0.142096,0.127101,0.131172,0.149773,0.0963118,0.149524,0.117325,0.19213,-19389.2
-18879.3,0.959022,0.528801,3,7,0,18896.1,-0.00494881,0.97528,0.116381,-0.020973,0.242734,0.120712,0.315698,0.159851,0.0212428,0.0596033,0.270253,0.185319,-0.038059,0.0887823,0.0606527,0.0148153,0.170542,0.121716,0.161649,0.150541,0.172636,0.162518,0.195995,0.0607496,-19409.7
-18882.2,0.980226,0.528801,3,7,0,18890.5,-0.0118546,0.971604,0.115805,-0.0317856,0.230987,0.0843094,0.327088,0.139223,0.0609495,0.0817516,0.21056,0.144929,-0.0408067,0.112672,0.0831109,0.00191989,0.131629,0.118572,0.107874,0.191209,0.171242,0.00486177,0.0854809,0.14375,-19375.5
-18877,0.792985,0.528801,3,7,0,18896.8,-0.00939072,0.974451,0.125643,-0.0167907,0.278538,0.11711,0.325257,0.175851,0.0254627,0.0620003,0.279324,0.163101,-0.0338738,0.0743888,0.0484525,0.0105134,0.130282,0.126338,0.113132,0.158856,0.109331,0.0869841,0.153446,0.0856978,-19405.9
-18876.3,0.976482,0.528801,3,7,0,18886.4,-0.00383193,0.973792,0.125463,-0.0370477,0.221701,0.0965984,0.30781,0.134566,0.00764463,0.0460286,0.257307,0.149095,-0.0534603,0.0963256,0.0864666,0.0256898,0.147291,0.12681,0.125168,0.158398,0.15695,0.102447,0.0826742,0.0531753,-19373.9
-18879.8,0.732375,0.528801,3,7,0,18889.1,-0.0139329,0.972321,0.0989984,-0.00148095,0.26517,0.111,0.322381,0.146601,0.0457462,0.0739372,0.288508,0.180866,-0.0312504,0.0992219,0.0525014,0.0160764,0.136489,0.124345,0.166233,0.129613,0.140721,0.0889359,0.211342,0.0919241,-19409.1
-18876.5,0.964474,0.528801,3,7,0,18891.6,-0.00655486,0.973749,0.131109,-0.0425595,0.260299,0.0965041,0.316515,0.15161,0.0494621,0.0577475,0.269976,0.18022,-0.0603647,0.0656989,0.085935,0.00630752,0.146682,0.111186,0.135946,0.159536,0.198318,0.0762643,0.0904971,0.0755792,-19402.8
-18876.5,0.811918,0.528801,3,7,0,18890.3,-0.00847093,0.976476,0.125856,-0.0335158,0.256425,0.098188,0.302254,0.137801,0.0372253,0.0611181,0.248294,0.183739,-0.0556638,0.079319,0.0908691,0.00615417,0.155062,0.097324,0.14173,0.158114,0.194457,0.106058,0.100162,0.0957195,-19385.1
-18874.2,1,0.528801,3,7,0,18884.3,-0.00789774,0.9731,0.108302,-0.0313174,0.227001,0.107858,0.334396,0.156805,0.0402618,0.0647108,0.275165,0.153599,-0.0146639,0.117401,0.0565912,0.0244821,0.151276,0.144005,0.136154,0.144732,0.0789408,0.0995153,0.158308,0.0591277,-19400.4
-18874.1,0.74188,0.528801,3,7,0,18885.8,-0.00817749,0.969656,0.12199,-0.0237409,0.23331,0.107289,0.320229,0.1383,0.0297364,0.0732323,0.250031,0.179382,-0.0539655,0.0981776,0.0750589,-0.00811228,0.151082,0.100212,0.132383,0.158917,0.205785,0.0658779,0.10277,0.111194,-19394.4
-18876.5,0.655163,0.528801,3,7,0,18886.6,-0.00671823,0.970845,0.11201,-0.0495643,0.254072,0.106876,0.317298,0.162273,0.0292368,0.0526769,0.248142,0.164836,-0.0306862,0.115591,0.0819061,0.015445,0.162158,0.110194,0.127113,0.148308,0.101491,0.100041,0.350692,0.0541474,-19394.7
-18874.9,0.888428,0.528801,3,7,0,18885,-0.0130307,0.970378,0.124852,-0.0319017,0.250983,0.107517,0.314646,0.178233,0.0257404,0.0591778,0.272025,0.158417,-0.0284892,0.117395,0.0864308,-0.00667609,0.149452,0.120097,0.132271,0.16922,0.0974089,0.085331,0.177853,0.068461,-19411.7
-18874.4,0.739858,0.528801,3,7,0,18890.6,-0.00949826,0.970735,0.104504,-0.0473073,0.254152,0.102739,0.313486,0.172883,0.0376447,0.0605713,0.27262,0.168751,-0.0287453,0.123876,0.0751709,-0.0131164,0.14875,0.107065,0.149387,0.165014,0.138195,0.0913046,0.143657,0.0717027,-19406.7
-18876.7,0.646862,0.528801,3,7,0,18889.6,-0.00491388,0.969714,0.126041,-0.00856968,0.224809,0.101711,0.350328,0.130146,0.0382904,0.0599156,0.250734,0.164959,-0.0380419,0.0745957,0.0750908,0.0210798,0.141574,0.130429,0.120089,0.140822,0.218074,0.103562,0.148767,0.0673287,-19392.2
-18880.5,0.602193,0.528801,3,7,0,18897.9,0.00115164,0.967885,0.127669,-0.010414,0.233331,0.1162,0.346794,0.138869,0.0137148,0.0632382,0.266712,0.174704,-0.0284337,0.0784584,0.0488496,0.0264787,0.139306,0.116491,0.10567,0.142884,0.197267,0.102014,0.138787,0.0608078,-19401.4
-18879.1,0.931774,0.528801,3,7,0,18892.5,-0.0181991,0.976796,0.0991707,-0.0439364,0.245295,0.0919753,0.300819,0.1551,0.0593119,0.0845281,0.272894,0.151881,-0.0485992,0.126686,0.0876295,-0.00551026,0.160113,0.127068,0.146171,0.142741,0.119119,0.0963746,0.147616,0.087633,-19389
-18878.9,0.912575,0.528801,3,7,0,18892.2,0.00471634,0.969576,0.119437,-0.00323765,0.261145,0.113887,0.334298,0.113994,0.0148885,0.0607115,0.256433,0.173642,-0.0304048,0.0802567,0.0693497,0.0113171,0.164623,0.118274,0.128697,0.16665,0.176267,0.0867906,0.117993,0.0749222,-19408.6
-18879.7,0.937787,0.528801,3,7,0,18890.3,-0.0160466,0.974829,0.128351,-0.0599663,0.269024,0.0949812,0.332354,0.126084,0.0385342,0.0468834,0.242786,0.161933,-0.0427198,0.107004,0.0903381,0.00143639,0.163886,0.130377,0.148677,0.142721,0.107518,0.0829365,0.242252,0.0737781,-19400
-18877.1,0.920995,0.528801,3,7,0,18888.7,0.00145686,0.971957,0.111039,-0.0259684,0.201357,0.110354,0.327257,0.153129,0.0601542,0.0709817,0.298617,0.165159,-0.046564,0.0968991,0.0596739,0.0168371,0.150297,0.111846,0.128812,0.16643,0.169512,0.12029,0.135763,0.060893,-19402.5
-18878,0.916474,0.528801,3,7,0,18888.6,0.00585283,0.977488,0.114743,-0.036884,0.2432,0.0790952,0.329999,0.152549,0.0299442,0.0743068,0.268063,0.171636,-0.0345596,0.0821096,0.0509069,0.0137424,0.164823,0.118564,0.136866,0.165293,0.122098,0.135818,0.132562,0.0848159,-19393.7
-18881,0.861405,0.528801,3,7,0,18892.1,-0.0140701,0.973165,0.121231,-0.0163011,0.261511,0.111942,0.29622,0.128156,0.0578341,0.0908729,0.273968,0.17677,-0.0329104,0.099317,0.0883505,0.0312421,0.153837,0.104397,0.117933,0.139365,0.148829,0.0248613,0.0773433,0.106506,-19395.4
-18879.9,0.82808,0.528801,3,7,0,18896.4,-0.00662279,0.975779,0.10861,-0.0377563,0.22588,0.097901,0.348287,0.170141,0.0246025,0.0481148,0.237431,0.154933,-0.0468224,0.104346,0.0591454,-0.012098,0.148613,0.133385,0.154319,0.16373,0.160359,0.020835,0.264143,0.15306,-19390.6
-18875.5,0.843331,0.528801,3,7,0,18892.7,-0.00811367,0.96996,0.122573,-0.023099,0.27312,0.111224,0.324496,0.127631,0.0426239,0.083667,0.274861,0.170927,-0.0317593,0.0762237,0.0733844,0.00772454,0.153116,0.103655,0.115502,0.151262,0.136666,0.147442,0.104316,0.0715625,-19405.3
-18876.4,0.982593,0.528801,3,7,0,18883.6,-0.00958204,0.972032,0.108657,-0.0373934,0.200849,0.096606,0.328153,0.170886,0.0427142,0.054822,0.254508,0.157763,-0.0463594,0.124684,0.0688299,0.000952707,0.142051,0.14419,0.147507,0.152667,0.164755,0.033138,0.126932,0.134102,-19390.8
-18881.1,0.636224,0.528801,3,7,0,18894,-0.00538621,0.975045,0.103991,-0.0107486,0.238208,0.0936429,0.314298,0.128519,0.0291847,0.0582876,0.254764,0.195435,-0.0478954,0.0775738,0.0755909,0.01925,0.141156,0.109001,0.132264,0.129148,0.128017,-0.00813961,0.127133,0.161462,-19372.7
