lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,mu_beta.1,mu_beta.2,sigma_beta.1,sigma_beta.2,log_p
# Adaptation terminated
# Step size = 0.493503
# Diagonal elements of inverse mass matrix:
# 3.21717e-05, 2.28865e-05, 0.000159267, 0.000178839, 0.000229997, 0.00017963, 0.000353981, 0.000404175, 0.00020459, 0.00018601, 0.000208207, 0.000191658, 0.000213216, 0.000237463, 0.000364669, 0.000200613, 0.000315578, 0.000376041, 0.000342617, 0.000308373, 0.00269254, 0.00114395, 0.0860117, 0.0967717
-18997.1,0.975644,0.493503,3,7,0,19005.9,-0.00984772,0.970613,0.114061,-0.0323001,0.26712,0.0873477,0.337912,0.139194,0.0184852,0.0882472,0.227524,0.135573,-0.0220827,0.0751218,0.0923997,-0.0168261,0.159977,0.116984,0.121699,0.155019,0.119952,0.154053,0.150215,0.122047,-19220.2
-19001.1,0.811935,0.493503,3,7,0,19009.8,-0.0125725,0.967053,0.108359,-0.0352832,0.281528,0.081,0.333572,0.141589,0.0198381,0.0794861,0.23073,0.125506,-0.0221612,0.0713776,0.0809335,-0.0170435,0.170412,0.117298,0.126557,0.168484,0.105495,0.170439,0.182448,0.107318,-19226.2
-18999.9,0.938398,0.493503,3,7,0,19012,-0.00451568,0.984963,0.119239,-0.0446339,0.21937,0.121346,0.309307,0.1432,-0.00476708,0.11178,0.242322,0.153156,-0.0443749,0.0959462,0.0534805,0.018474,0.150353,0.116916,0.141052,0.190818,0.140964,0.0482668,0.0856407,0.0950504,-19213.7
-18999.2,0.973493,0.493503,3,7,0,19004.7,-0.0105084,0.965379,0.119168,-0.0394199,0.282088,0.0852958,0.323026,0.14683,0.0158624,0.091492,0.218221,0.128658,-0.0203831,0.0855508,0.0721161,-0.0114434,0.16465,0.122005,0.112729,0.164657,0.127636,0.135003,0.181801,0.06404,-19224.1
-19002.1,0.959749,0.493503,3,7,0,19011,-0.00118899,0.979985,0.124367,-0.0599116,0.194152,0.0987359,0.339659,0.132986,0.000839855,0.123052,0.247382,0.141203,-0.0160877,0.102429,0.0681885,0.0165618,0.150342,0.105362,0.129661,0.181514,0.17763,0.0556266,0.131269,0.0696233,-19223.7
-18998.4,0.986954,0.493503,3,7,0,19012.1,-0.0147715,0.974554,0.106421,-0.0243059,0.301744,0.100336,0.297334,0.158669,0.0148162,0.0679355,0.230972,0.138662,-0.0554531,0.0840117,0.0616866,-0.00521929,0.169824,0.128892,0.133791,0.181917,0.120626,0.13698,0.100819,0.0835417,-19218.4
-18997.2,0.945553,0.493503,3,7,0,19008.4,-0.00616407,0.975599,0.106554,-0.0609665,0.229634,0.0994715,0.319906,0.113882,0.0123827,0.088437,0.223321,0.139025,-0.0200136,0.0565763,0.0724633,0.0133764,0.138289,0.113757,0.129635,0.178101,0.13702,0.0589849,0.127016,0.102538,-19195.9
-18999.6,0.930922,0.493503,3,7,0,19009.4,-0.0112663,0.971368,0.135568,-0.0554363,0.292525,0.10901,0.323385,0.138586,0.0308575,0.0765178,0.251532,0.124504,-0.0324973,0.0838531,0.0966491,-0.0148384,0.158543,0.115298,0.1564,0.183189,0.139094,0.120141,0.0903978,0.0742504,-19246.7
-18998.2,0.996717,0.493503,3,7,0,19009.3,-0.0176269,0.976367,0.119093,-0.0342935,0.29712,0.0826158,0.322424,0.158123,0.0277237,0.111092,0.233341,0.138734,-0.0540971,0.0979991,0.0763369,-0.00568741,0.163636,0.121,0.13792,0.168017,0.161796,0.117491,0.173062,0.129021,-19234.5
-19000.8,0.847431,0.493503,3,7,0,19011.3,-0.0161465,0.969936,0.099919,-0.0476867,0.283806,0.0934991,0.315608,0.156782,0.026197,0.0984957,0.228202,0.137449,-0.032566,0.0961329,0.0820808,0.0275212,0.159702,0.0968205,0.119425,0.145158,0.169867,0.104879,0.143685,0.104487,-19217.3
