# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = base_model
# start_datetime = 2025-04-21 01:30:21 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpauik0v1i/rju1mrte.json
# init = 2 (Default)
# random
#   seed = 74994
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/base/base-20250420203021_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,log_p
# Adaptation terminated
# Step size = 0.565249
# Diagonal elements of inverse mass matrix:
# 1.84411e-05, 1.45688e-05
-51475.3,0.635138,0.565249,2,3,0,51475.9,-0.00375773,0.996184,-48538.7
-51472.9,1,0.565249,2,3,0,51475,-0.00217568,1.00196,-48539
-51474.3,0.869136,0.565249,2,3,0,51474.6,-0.0054001,1.00294,-48540
-51475.8,0.889614,0.565249,2,3,0,51476.2,-0.00420791,1.00572,-48540.9
-51473.1,1,0.565249,2,7,0,51475.3,0.00046257,0.998935,-48538.2
-51473.9,0.815646,0.565249,1,1,0,51473.9,0.000557945,0.99738,-48538.1
-51473.7,1,0.565249,2,3,0,51474.1,0.000733436,0.997742,-48538.1
-51473,1,0.565249,2,3,0,51473.8,-0.00309812,1.00152,-48539
-51473.1,0.994785,0.565249,2,3,0,51473.1,-0.00330521,1.00171,-48539.1
-51472.8,0.943323,0.565249,1,3,0,51473.8,0.000425679,1.00165,-48538.7
-51472.9,0.949849,0.565249,2,3,0,51473.4,0.000794329,0.999842,-48538.3
-51473.3,0.940272,0.565249,2,3,0,51473.4,0.00150931,1.00271,-48538.9
-51473,1,0.565249,2,3,0,51473.4,-0.00206407,0.999166,-48538.5
-51473.5,0.952587,0.565249,2,7,0,51473.6,-0.00167662,1.00353,-48539.5
-51474.3,0.825371,0.565249,1,1,0,51474.4,-0.00111562,1.00474,-48539.9
-51473.2,0.932305,0.565249,2,3,0,51475.1,-0.00338695,1.0019,-48539.2
-51473,1,0.565249,1,1,0,51473.2,-0.00316836,1.00153,-48539.1
-51472.9,0.864382,0.565249,2,3,0,51474.5,-0.00243709,0.999904,-48538.6
-51474.2,0.639225,0.565249,2,3,0,51475.1,-0.00195349,1.00455,-48540
-51473.5,1,0.565249,2,3,0,51474.1,-0.0010344,1.00355,-48539.4
-51472.8,1,0.565249,2,3,0,51473.4,0.00042986,0.999886,-48538.3
-51474.5,0.707261,0.565249,1,3,0,51474.7,0.000570997,0.996639,-48538.2
-51472.7,0.98529,0.565249,2,3,0,51474.6,-0.000743982,1.00036,-48538.5
-51472.7,0.999336,0.565249,2,3,0,51472.7,-0.001035,1.00121,-48538.7
-51472.7,0.957438,0.565249,2,3,0,51473,-0.00055232,1.00049,-48538.5
-51473.7,0.78631,0.565249,1,3,0,51474,0.000604764,0.997672,-48538.1
-51475.5,0.654096,0.565249,1,1,0,51475.6,-3.48412e-05,0.995577,-48538.3
-51474.9,1,0.565249,2,3,0,51475.7,-0.00013947,0.996176,-48538.2
-51472.9,0.92826,0.565249,1,3,0,51475.5,0.00153081,1.00123,-48538.5
-51473,0.950561,0.565249,3,7,0,51473.4,-0.000360176,1.00259,-48539
-51473.1,0.953607,0.565249,2,3,0,51473.7,-0.00294587,1.00207,-48539.2
-51473.2,0.991319,0.565249,3,7,0,51473.3,0.00161035,0.999173,-48538.2
-51473.8,0.938696,0.565249,3,7,0,51474.2,-0.00529015,1.0015,-48539.5
-51474.4,0.875062,0.565249,2,7,0,51475.4,0.000336434,0.996747,-48538.2
-51474.4,1,0.565249,2,7,0,51474.4,-0.00195476,1.0048,-48540.1
-51472.8,0.982032,0.565249,2,3,0,51474.6,-0.00219606,1.00069,-48538.7
-51472.7,0.996268,0.565249,2,3,0,51472.9,-0.00160171,1.00136,-48538.8
-51473.3,0.859129,0.565249,1,3,0,51474.2,0.00267535,1.00069,-48538.4
-51472.8,1,0.565249,2,3,0,51473.3,-0.0013428,0.999966,-48538.5
-51473.4,0.871137,0.565249,1,3,0,51473.7,0.00125339,0.998542,-48538.1
-51473.3,1,0.565249,2,3,0,51473.5,0.000900429,0.998531,-48538.1
-51474,0.945465,0.565249,2,3,0,51474.5,-0.00486986,1.0029,-48539.8
-51472.8,0.995402,0.565249,2,3,0,51474.1,-0.00188366,1.0012,-48538.8
-51472.7,0.988017,0.565249,1,3,0,51472.9,-0.00024114,1.00065,-48538.5
-51473.3,0.86667,0.565249,1,3,0,51473.9,-0.00397216,0.999978,-48538.9
-51473,1,0.565249,1,1,0,51473.2,-0.00326386,1.00041,-48538.8
-51472.7,0.98665,0.565249,3,7,0,51473.2,-0.000129943,1.00108,-48538.6
-51475.5,0.705635,0.565249,2,3,0,51475.9,0.00424871,1.00466,-48539.8
-51474.4,1,0.565249,1,1,0,51475.4,0.00408914,1.00308,-48539.1
-51474.1,0.956723,0.565249,2,7,0,51475.7,-3.33362e-05,1.00446,-48539.7
-51474.2,0.834312,0.565249,2,7,0,51476.9,-0.00601061,1.00174,-48539.8
-51474.3,0.729796,0.565249,3,7,0,51478.7,0.0041135,0.99872,-48538.2
-51473.7,0.903692,0.565249,2,3,0,51475.7,-0.0045572,1.00253,-48539.6
-51475.3,0.851934,0.565249,2,3,0,51476.1,-0.00690025,0.998219,-48539.5
-51473.8,0.997406,0.565249,3,7,0,51476,0.00176827,1.00355,-48539.2
-51473.7,1,0.565249,2,7,0,51473.8,-0.0028471,0.997998,-48538.5
-51473.3,0.894893,0.565249,2,3,0,51474.9,-0.00240716,0.998687,-48538.5
-51474.1,0.928824,0.565249,3,7,0,51474.3,-0.00331394,1.00408,-48540
-51474.7,0.882547,0.565249,1,1,0,51474.9,-0.00322176,1.00481,-48540.3
-51474.7,0.998223,0.565249,2,7,0,51474.8,0.00219461,0.996791,-48538.1
