# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = base_model
# start_datetime = 2025-05-11 20:25:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmppgg4k5mb/sdkhxz1i.json
# init = 2 (Default)
# random
#   seed = 38944
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den_nNone/base/base-20250511152536_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,log_p
# Adaptation terminated
# Step size = 0.603887
# Diagonal elements of inverse mass matrix:
# 1.80564e-05, 1.45828e-05
-51597.9,0.926486,0.603887,2,3,0,51599.9,0.000438519,1.00114,-48413.4
-51600.3,0.755277,0.603887,2,3,0,51600.5,-0.00559209,1.00518,-48416.5
-51599,1,0.603887,2,3,0,51600.1,-0.00487798,1.00298,-48414.9
-51600.1,0.828573,0.603887,2,7,0,51601.1,-0.00433011,0.998306,-48412.7
-51603.1,0.454785,0.603887,1,1,0,51603.2,-0.00512232,0.995766,-48412.3
-51598.7,0.989922,0.603887,2,3,0,51602.2,0.00200375,1.00462,-48415.5
-51597.8,0.988674,0.603887,2,3,0,51598.8,-0.000617646,1.00193,-48413.8
-51598.3,0.894948,0.603887,2,3,0,51598.5,-0.00225285,1.00023,-48413.1
-51598.9,0.669751,0.603887,2,3,0,51602.4,-0.00388378,1.00387,-48415.3
-51599.1,0.94455,0.603887,1,1,0,51599.3,-0.00426704,1.00415,-48415.5
-51600.1,0.813788,0.603887,1,1,0,51600.2,-0.00540746,1.00497,-48416.3
-51598.6,1,0.603887,2,3,0,51600.2,-0.00405501,1.00123,-48413.8
-51598.3,0.980805,0.603887,3,7,0,51599,0.00120209,0.999996,-48412.9
-51598.6,0.98328,0.603887,2,3,0,51598.7,0.00224984,1.00415,-48415.2
-51598.7,0.937822,0.603887,3,7,0,51599.5,0.00269381,1.00409,-48415.2
-51599.2,0.91406,0.603887,1,1,0,51599.3,0.00402231,1.00418,-48415.4
-51598.8,1,0.603887,2,3,0,51599.2,0.00405228,1.00286,-48414.6
-51599.9,0.759651,0.603887,2,3,0,51600.7,-0.00407913,0.998421,-48412.7
-51597.9,0.941279,0.603887,1,3,0,51600.7,0.00115614,1.00134,-48413.5
-51600.1,0.747818,0.603887,2,3,0,51600.5,-0.00623321,1.00009,-48413.7
-51598.3,0.902989,0.603887,2,3,0,51601.1,-4.02442e-05,0.99979,-48412.8
-51598.4,0.966083,0.603887,1,1,0,51598.5,-0.000207856,0.999528,-48412.7
-51598.1,1,0.603887,1,1,0,51598.4,-0.000330002,1.00014,-48413
-51598.8,0.835221,0.603887,2,3,0,51600,0.00418932,1.00286,-48414.6
-51598.9,0.896641,0.603887,2,3,0,51600,-0.00375788,1.00395,-48415.3
