# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = base_model
# start_datetime = 2025-05-11 17:16:00 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/dt0ehzfj.json
# init = 2 (Default)
# random
#   seed = 16409
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/base/base-20250511121600_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,log_p
# Adaptation terminated
# Step size = 0.533216
# Diagonal elements of inverse mass matrix:
# 1.92973e-05, 1.51304e-05
-51394.8,0.955988,0.533216,2,7,0,51394.9,0.00197806,1.00254,-48617.4
-51394.4,0.974825,0.533216,2,3,0,51395.1,0.00317544,1.0009,-48617.5
-51395.2,0.745034,0.533216,2,7,0,51396.6,0.000314068,0.99694,-48617.2
-51395.3,0.966964,0.533216,2,3,0,51396.1,0.00472194,1.00254,-48618.2
-51395.2,0.989096,0.533216,2,3,0,51396,0.00593279,0.999239,-48618.4
-51394.3,1,0.533216,2,3,0,51395.2,0.00249929,1.00119,-48617.4
-51394.5,0.986983,0.533216,2,3,0,51394.7,0.00411897,1.00043,-48617.8
-51394.6,0.977373,0.533216,2,3,0,51394.9,0.00442326,1.00034,-48617.9
-51394.2,0.94135,0.533216,1,3,0,51395.3,0.00086149,0.999463,-48617
-51394.2,0.971585,0.533216,1,3,0,51394.4,0.00198083,1.00085,-48617.2
-51394.8,0.896245,0.533216,2,3,0,51395.3,0.00514213,0.999711,-48618.1
-51394.4,0.953147,0.533216,2,3,0,51395.3,-0.000377583,0.999757,-48616.7
-51397.5,0.746045,0.533216,3,7,0,51398.1,-0.00634826,0.998969,-48616.5
-51394.3,1,0.533216,2,3,0,51397.3,0.00115576,0.998747,-48617.1
-51394.4,0.939481,0.533216,1,3,0,51395,0.00342896,1.00069,-48617.6
-51394.6,0.88279,0.533216,1,3,0,51395.3,0.00165217,0.997966,-48617.3
-51394.6,0.999766,0.533216,2,7,0,51394.6,0.0023026,1.00204,-48617.4
-51395.2,0.912615,0.533216,2,3,0,51395.9,0.00500257,0.997872,-48618.2
-51397.3,0.490739,0.533216,2,3,0,51399.7,0.00672318,1.00427,-48619.3
-51395,1,0.533216,2,3,0,51397.6,0.00270632,1.00281,-48617.6
-51394.8,0.782002,0.533216,2,7,0,51396.8,0.00201553,0.997558,-48617.4
-51394.5,0.923382,0.533216,1,3,0,51395.6,0.00398201,1.0007,-48617.8
-51394.8,0.859288,0.533216,2,7,0,51395.8,0.00191274,0.997439,-48617.4
-51394.5,1,0.533216,1,1,0,51394.8,0.00172593,0.998129,-48617.3
-51395.4,0.915574,0.533216,2,7,0,51395.4,0.00422568,1.00296,-48618.1
-51394.9,1,0.533216,2,3,0,51395.7,-0.00130053,0.998241,-48616.7
-51395.9,0.820562,0.533216,2,3,0,51397.1,0.00621122,1.00264,-48618.7
-51395.3,0.99557,0.533216,2,7,0,51396.1,-0.000717977,0.997175,-48617
-51395.7,0.966774,0.533216,2,3,0,51395.9,-0.000938231,0.996511,-48617.1
-51394.4,0.992242,0.533216,2,3,0,51395.9,-0.00045493,0.999654,-48616.7
-51394.9,0.877218,0.533216,2,3,0,51395.3,-0.000410851,1.00234,-48616.9
-51394.7,0.989922,0.533216,2,3,0,51395.1,0.00244112,0.997669,-48617.5
-51396.4,0.862236,0.533216,2,3,0,51396.8,-0.000103181,0.995532,-48617.5
-51399.5,0.488975,0.533216,1,1,0,51399.7,0.00104588,0.992827,-48618.8
-51399.5,0.897883,0.533216,2,3,0,51402.5,0.00983089,1.00432,-48620.7
-51394.9,0.972165,0.533216,2,3,0,51400.4,0.000129781,1.00252,-48617
-51395.4,0.750393,0.533216,2,3,0,51397.4,-0.000689947,0.996969,-48617
-51395.8,0.908707,0.533216,1,1,0,51396,-0.000157165,0.996256,-48617.3
-51394.3,0.897786,0.533216,2,3,0,51396.9,0.00157074,1.00121,-48617.2
-51394.2,0.932769,0.533216,2,3,0,51394.8,0.00179216,0.999377,-48617.2
-51396.7,0.828626,0.533216,2,7,0,51396.7,0.00857367,1.0006,-48619.5
-51395.1,0.963388,0.533216,2,3,0,51397.3,0.00509126,1.00176,-48618.2
-51394.7,1,0.533216,1,1,0,51395.1,0.00399671,1.00152,-48617.8
-51394.2,0.939408,0.533216,1,3,0,51395.4,0.00100477,0.999193,-48617
-51395.3,0.88512,0.533216,2,3,0,51395.4,0.00126003,1.00338,-48617.4
-51396.1,0.896899,0.533216,2,3,0,51396.4,0.00422243,0.996063,-48618.4
-51394.7,0.998404,0.533216,2,7,0,51396.6,-0.00168002,0.999791,-48616.6
-51394.2,0.945219,0.533216,2,3,0,51395.3,0.00218955,0.999779,-48617.3
-51394.9,0.842467,0.533216,1,3,0,51395.8,-0.00190693,1.00091,-48616.6
-51395.2,0.917446,0.533216,2,3,0,51395.7,4.91085e-05,0.997072,-48617.1
-51394.5,0.8594,0.533216,1,3,0,51396.5,0.00114416,1.00185,-48617.1
-51394.7,0.991066,0.533216,2,3,0,51394.9,0.00397709,0.998319,-48617.8
