density_bin,freq,count,log_cpy entropy,log_cpy variance,log_cpy median,cpy_var,cpy_med,cpy_mean,ref_med,ref_var,year_med,field,log_cpy_var,vectorizer
39.07,0.0033609410634977,28,,0.4112411695457927,0.4542583717601582,114.2565807093414,2.0919117647058822,5.152443099372002,40.0,1321.4183673469386,2012.5,Geology,0.4112411695457927,SciBERT
39.12,0.0027607730164446,23,,0.2559677896523811,0.5228787452803376,58.375232870536095,3.090909090909091,5.408532260578296,45.0,1069.1001890359166,2010.0,Geology,0.2559677896523811,SciBERT
39.169,0.0030008402352658,25,,0.2738701414751854,0.2957463471392069,19.258802914525457,1.75,3.975999457542801,43.0,1869.0944,2007.0,Geology,0.2738701414751854,SciBERT
39.218,0.0042011763293722,35,,0.1622947299454069,0.5563025007672873,18.889166310248967,3.4,5.112212712590864,44.0,1557.1542857142858,2013.0,Geology,0.1622947299454069,SciBERT
39.268,0.0028808066258552,24,,0.1478793283412897,0.4771212547196624,28.095416951569337,3.0,4.51992190923112,44.5,1168.326388888889,2011.5,Geology,0.1478793283412897,SciBERT
39.317,0.0031208738446765,26,,0.1607122505219651,0.4771212547196624,16.96211421887343,2.9375,4.36541307882401,57.0,1335.366863905325,2013.5,Geology,0.1607122505219651,SciBERT
39.366,0.002280638578802,19,,0.1447462345577022,0.5233717017711631,16.81743884128454,2.9166666666666665,4.448305323847119,51.0,2999.0858725761773,2008.0,Geology,0.1447462345577022,SciBERT
39.415,0.0033609410634977,28,204.52513148807387,0.2300583240541331,0.6551189987254025,196.7898155618748,4.523809523809524,8.105713120421767,42.0,2043.1875,2012.0,Geology,0.2300583240541331,SciBERT
39.465,0.003601008282319,30,,0.2205580610334332,0.3617278360175928,26.466388242656706,2.2333333333333334,4.3131251535702,40.5,1255.29,2012.5,Geology,0.2205580610334332,SciBERT
39.514,0.0018005041411595,15,344.1891011011427,0.2912768400743147,0.6020599913279624,56.887830565570674,4.0,6.857309009073714,50.0,640.24,2012.0,Geology,0.2912768400743147,SciBERT
39.563,0.0020405713599807,17,,0.2720779457064958,0.6065374126544256,60.560042644272,3.5,6.539124489201889,35.0,1269.6608996539792,2008.0,Geology,0.2720779457064958,SciBERT
