density_bin,freq,count,log_cpy entropy,log_cpy variance,log_cpy median,field,log_cpy_variance
43.925,0.021104563519254486,308,,0.24670028370900374,0.7403626894942439,Physics,0.24670028370900374
44.288,0.01685624229135261,246,,0.22318016583137695,0.8239087409443188,Physics,0.22318016583137695
44.651,0.015896943949568317,232,,0.21206342357825878,0.859902316257474,Physics,0.21206342357825878
45.014,0.01507468822803892,220,,0.23231229490482505,0.9344984512435677,Physics,0.23231229490482505
45.377,0.012607921063450734,184,,0.19916387797088142,0.6926754406820086,Physics,0.19916387797088142
45.739,0.010620803069754693,155,,0.19676644729244583,0.8016323462331665,Physics,0.19676644729244583
46.102,0.010278196519117445,150,,0.2090941242139553,0.8701813447471219,Physics,0.2090941242139553
46.465,0.00753734411401946,110,,0.2310710984406607,0.8450980400142568,Physics,0.2310710984406607
46.828,0.006715088392490064,98,,0.21992003200274593,0.9286662482156343,Physics,0.21992003200274593
47.191,0.005481704810195971,80,,0.21259614457734582,0.8129133566428556,Physics,0.21259614457734582
47.554,0.005481704810195971,80,,0.25583688726405784,0.8692317197309762,Physics,0.25583688726405784
47.917,0.003357544196245032,49,,0.18499926855709567,0.9259687322722812,Physics,0.18499926855709567
48.28,0.003083458955735234,45,,0.08319252287505362,0.8750612633917001,Physics,0.08319252287505362
48.643,0.0026038097848430863,38,,0.2887861948481829,0.7702898582522271,Physics,0.2887861948481829
49.005,0.0013704262025489927,20,,0.07429480759344959,0.6532125137753437,Physics,0.07429480759344959
49.368,0.0018500753734411403,27,,0.17552188001015373,0.9877159042546315,Physics,0.17552188001015373
49.731,0.0008907770316568453,13,,0.05462701954943004,1.105510184769974,Physics,0.05462701954943004
50.094,0.0013704262025489927,20,,0.10083684377514342,0.8740940135031001,Physics,0.10083684377514342
50.457,0.0008222557215293956,12,,0.08801358837686257,1.1401373870366809,Physics,0.08801358837686257
50.82,0.00047964917089214745,7,,0.2840654661875197,0.9423032906489652,Physics,0.2840654661875197
51.183,0.0002055639303823489,3,,0.0017449856782246443,0.4811057195553001,Physics,0.0017449856782246443
51.546,0.00034260655063724817,5,,0.03528078771353827,1.0909217939723863,Physics,0.03528078771353827
51.908,0.00013704262025489926,2,,0.0,0.9208187539523752,Physics,0.0
13.534,5.0784622416332335e-05,1,,,,Economics,
13.985,5.0784622416332335e-05,1,,,,Economics,
14.436,5.0784622416332335e-05,1,,0.0,-0.6690067809585758,Economics,0.0
14.887,0.00010156924483266467,2,,,,Economics,
15.338,5.0784622416332335e-05,1,,0.0,0.5785788954784394,Economics,0.0
15.79,5.0784622416332335e-05,1,,,,Economics,
16.241,0.0002539231120816617,5,,0.0,0.2466723333413885,Economics,0.0
16.692,0.0005586308465796557,11,,1.5386725774704242,-0.19957235490520417,Economics,1.5386725774704242
17.143,0.0005078462241633234,10,,,,Economics,
17.595,0.00035549235691432633,7,,0.0,0.07463361829690418,Economics,0.0
18.046,0.0007109847138286527,14,,0.09782541293679758,-0.9659830573640864,Economics,0.09782541293679758
