# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 23:04:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpeem7arw8/bj7u9aft.json
# init = 2 (Default)
# random
#   seed = 80778
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_den-asym_nNone/nonsems/multireg-20250511180408_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.487147
# Diagonal elements of inverse mass matrix:
# 1.99146e-05, 1.88242e-05, 1.74792e-05, 1.43024e-05
-49251.1,0.905567,0.487147,2,7,0,49252.8,0.00568721,0.154197,0.12722,0.980459,0.143129,0.128284,-48090.5
-49249.6,0.547559,0.487147,2,3,0,49260.2,-0.0036505,0.158619,0.124959,0.977819,0.14808,0.126004,-48094.5
-49249.9,0.960407,0.487147,3,7,0,49251.2,0.00458973,0.153849,0.123537,0.979613,0.143293,0.12457,-48090.2
-49248.5,0.927067,0.487147,2,3,0,49251.1,0.000472041,0.155221,0.124038,0.979665,0.144657,0.125076,-48090.8
-49251.3,0.763838,0.487147,2,3,0,49251.5,-0.00544418,0.155464,0.125396,0.98247,0.144717,0.126445,-48090.6
-49250.2,0.955702,0.487147,2,3,0,49252.7,7.41476e-05,0.160829,0.124118,0.976104,0.150513,0.125156,-48097.5
-49249.5,1,0.487147,3,7,0,49250.9,0.00137232,0.152721,0.122903,0.980418,0.142203,0.123931,-48088.8
-49248.8,0.931536,0.487147,3,7,0,49251.3,-0.00180021,0.158832,0.125034,0.979839,0.148292,0.12608,-48093.7
-49249,0.934358,0.487147,3,7,0,49250.1,0.00235507,0.15476,0.124566,0.978425,0.144099,0.125608,-48091
-49250,0.923662,0.487147,2,3,0,49250.3,0.00312087,0.152813,0.12312,0.977769,0.142268,0.12415,-48090.1
-49250.4,0.981443,0.487147,3,7,0,49251.6,-0.00585841,0.15729,0.124143,0.978387,0.146807,0.125182,-48093.4
-49250.7,0.902552,0.487147,3,7,0,49253.4,0.0059068,0.154672,0.123577,0.981162,0.144148,0.124611,-48090.6
-49251.1,0.807123,0.487147,3,7,0,49254.5,0.000592209,0.159648,0.127842,0.975525,0.148744,0.128911,-48096.8
-49250.6,0.938624,0.487147,2,7,0,49253.4,-0.00237455,0.151625,0.121628,0.980433,0.141239,0.122645,-48088.2
-49250.1,0.986795,0.487147,3,7,0,49252.5,0.00213188,0.160805,0.12739,0.978244,0.15002,0.128456,-48096.4
-49250.4,0.912474,0.487147,3,7,0,49252.3,-0.00059783,0.153631,0.119425,0.981271,0.143653,0.120424,-48089.6
-49251.8,0.886218,0.487147,3,7,0,49253.7,-0.0076559,0.158524,0.122981,0.980072,0.148264,0.12401,-48094.3
-49252.4,0.969181,0.487147,3,7,0,49255,0.00850427,0.158147,0.125379,0.980959,0.147527,0.126428,-48094.2
